2016-09-12 18:19:03,666 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /0:0:0:0:0:0:0:1:60679
2016-09-12 18:19:03,675 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /0:0:0:0:0:0:0:1:60679
2016-09-12 18:19:03,676 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x1571f2f6fa40003 with negotiated timeout 30000 for client /0:0:0:0:0:0:0:1:60679
2016-09-12 18:19:21,836 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1571f2f6fa40003
2016-09-12 18:19:21,843 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1008] - Closed socket connection for client /0:0:0:0:0:0:0:1:60679 which had sessionid 0x1571f2f6fa40003
2016-09-12 18:21:04,005 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:60695
2016-09-12 18:21:04,012 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /127.0.0.1:60695
2016-09-12 18:21:04,013 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x1571f2f6fa40004 with negotiated timeout 30000 for client /127.0.0.1:60695
2016-09-12 18:21:04,224 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40004 type:setData cxid:0x6 zxid:0x747 txntype:-1 reqpath:n/a Error Path:/config/topics/TEST Error:KeeperErrorCode = NoNode for /config/topics/TEST
2016-09-12 18:21:04,238 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40004 type:create cxid:0x8 zxid:0x748 txntype:-1 reqpath:n/a Error Path:/config/topics Error:KeeperErrorCode = NodeExists for /config/topics
2016-09-12 18:21:04,258 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1571f2f6fa40004
2016-09-12 18:21:04,260 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1008] - Closed socket connection for client /127.0.0.1:60695 which had sessionid 0x1571f2f6fa40004
2016-09-12 18:21:04,264 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40000 type:create cxid:0x1e2 zxid:0x74c txntype:-1 reqpath:n/a Error Path:/brokers/topics/TEST/partitions/0 Error:KeeperErrorCode = NoNode for /brokers/topics/TEST/partitions/0
2016-09-12 18:21:04,265 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40000 type:create cxid:0x1e3 zxid:0x74d txntype:-1 reqpath:n/a Error Path:/brokers/topics/TEST/partitions Error:KeeperErrorCode = NoNode for /brokers/topics/TEST/partitions
2016-09-12 18:21:04,269 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40000 type:create cxid:0x1e7 zxid:0x751 txntype:-1 reqpath:n/a Error Path:/brokers/topics/TEST/partitions/1 Error:KeeperErrorCode = NoNode for /brokers/topics/TEST/partitions/1
2016-09-12 18:21:04,272 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40000 type:create cxid:0x1ea zxid:0x754 txntype:-1 reqpath:n/a Error Path:/brokers/topics/TEST/partitions/2 Error:KeeperErrorCode = NoNode for /brokers/topics/TEST/partitions/2
2016-09-12 18:21:17,082 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:60703
2016-09-12 18:21:17,089 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /127.0.0.1:60703
2016-09-12 18:21:17,094 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x1571f2f6fa40005 with negotiated timeout 30000 for client /127.0.0.1:60703
2016-09-12 18:21:17,375 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1571f2f6fa40005
2016-09-12 18:21:17,376 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1008] - Closed socket connection for client /127.0.0.1:60703 which had sessionid 0x1571f2f6fa40005
2016-09-12 19:37:47,372 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1571f2f6fa40000
2016-09-12 19:37:47,558 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1571f2f6fa40001
2016-09-12 19:37:47,594 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1008] - Closed socket connection for client /0:0:0:0:0:0:0:1:60670 which had sessionid 0x1571f2f6fa40000
2016-09-12 19:37:47,596 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1008] - Closed socket connection for client /127.0.0.1:60674 which had sessionid 0x1571f2f6fa40001
2016-09-12 19:37:48,489 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40002 type:delete cxid:0x11b zxid:0x75d txntype:-1 reqpath:n/a Error Path:/admin/preferred_replica_election Error:KeeperErrorCode = NoNode for /admin/preferred_replica_election
2016-09-12 19:37:52,917 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1571f2f6fa40002
2016-09-12 19:37:52,922 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1008] - Closed socket connection for client /0:0:0:0:0:0:0:1:60677 which had sessionid 0x1571f2f6fa40002
2016-09-12 19:38:58,734 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:61426
2016-09-12 19:38:58,742 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /127.0.0.1:61426
2016-09-12 19:38:58,743 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x1571f2f6fa40006 with negotiated timeout 6000 for client /127.0.0.1:61426
2016-09-12 19:39:00,469 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@487] - Processed session termination for sessionid: 0x1571f2f6fa40006
2016-09-12 19:39:00,471 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1008] - Closed socket connection for client /127.0.0.1:61426 which had sessionid 0x1571f2f6fa40006
2016-09-12 19:40:57,921 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:61442
2016-09-12 19:40:57,927 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@928] - Client attempting to establish new session at /127.0.0.1:61442
2016-09-12 19:40:57,932 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@673] - Established session 0x1571f2f6fa40007 with negotiated timeout 6000 for client /127.0.0.1:61442
2016-09-12 19:41:00,571 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@649] - Got user-level KeeperException when processing sessionid:0x1571f2f6fa40007 type:delete cxid:0x110 zxid:0x764 txntype:-1 reqpath:n/a Error Path:/admin/preferred_replica_election Error:KeeperErrorCode = NoNode for /admin/preferred_replica_election
